,ghi_mean,ghi_std,ghi_max,ghi_cv,pv_energy_kwh,pv_peak_kw,load_mean_kw,load_energy_kwh,bess_dis_energy_kwh,bess_ch_energy_kwh,grid_imp_energy_kwh,grid_exp_energy_kwh,temp_mean_c,temp_max_c,day_type
2024-11-09,283.5350471698113,232.8127031214863,719.35,0.821107321459463,743.6310465410326,177.3211873372367,48.06740195889889,636.8930759554102,0.0,0.0,258.4311444163319,364.36141308148785,35.22009433962264,39.47,high_variability
2024-11-10,519.378679245283,345.68171470292265,994.47,0.6655677803433094,1121.414286829533,184.13430786133003,45.352890137512766,600.925794322044,0.0,0.0,177.72028862312453,697.2870872418064,32.66948113207547,37.53,high_variability
2024-11-11,501.94966981132075,299.65284996849243,955.5,0.5969778804339683,965.7246374587216,178.0977681477867,165.03207334257516,2186.6749717891207,0.0,0.0,1222.7744124730464,1.18666489919025,33.37216981132075,38.56,high_variability
2024-11-12,196.82037735849056,122.6168743910551,433.75,0.6229887171068651,528.5307640259459,128.15158843994,150.81463852009324,1998.2939603912355,0.0,0.0,1470.6189718246444,0.0,33.96778301886793,39.45,high_variability
2024-11-13,621.4246226415094,356.6649842873306,1072.0,0.5739472999496598,1534.423309942088,201.11203511556,149.66230628776526,1983.0255583128896,0.0,0.0,460.69395098090206,11.668956075950202,29.976273584905663,34.04,high_variability
2024-11-14,602.4458018867924,335.76261913208253,1068.7,0.5573324904589122,1540.604487121107,203.91496276855332,153.11945132864338,2028.8327301045251,0.0,0.0,520.9799513816832,32.37459755937271,28.803396226415092,33.45,partly_variable
2024-11-15,628.0713207547169,361.70542621186473,1066.53,0.5758986507730113,1475.4363506622701,197.84039815267,144.15984785181925,1910.117984036605,0.0,0.0,456.3574141499904,21.322232253849478,32.067688679245286,37.03,high_variability
2024-11-16,641.4233962264151,363.8328373338205,1093.62,0.5672272627944365,1504.2398975268015,191.90625508626,81.3481979602537,1077.8636229733613,0.0,0.0,135.24373344580334,561.2961855530738,36.86820754716981,41.16,high_variability
2024-11-17,426.3412735849057,302.7589326497042,989.17,0.7101328241198537,860.1336203937747,192.12676493327,47.985390652744265,635.8064261488615,0.0,0.0,205.50107581665134,437.83191910013653,31.293443396226415,33.94,high_variability
2024-11-18,520.8323584905661,347.29170922337335,989.6,0.6668013297596675,1268.7105158219717,195.09910074869663,124.08348143541225,1644.1061290192126,0.0,0.0,483.4067011997102,107.56386844317132,28.304669811320757,32.29,high_variability
2024-11-19,638.7191509433962,358.2537349867515,1087.68,0.5608939930133707,1557.9429669057363,197.36723327637,155.95677087498188,2066.42721409351,0.0,0.0,511.655838295817,2.8547615756591114,30.286037735849057,34.32,partly_variable
2024-11-20,670.4788679245282,371.54073492491983,1120.32,0.5541423491467026,1582.6647340754657,195.37598673502663,166.074161540412,2200.4826404104588,0.0,0.0,619.5487244824567,1.4378483792146,31.686603773584903,36.26,partly_variable
